start;end;width
[200.025, 52.07];[205.74, 52.07];0.5
[203.2, 121.92];[213.995, 121.92];0.4
[173.99, 125.095];[174.625, 124.46];0.5
[209.55, 52.07];[210.82, 50.8];0.5
[201.93, 123.19];[203.2, 121.92];0.5
[213.995, 121.92];[215.265, 120.65];0.5
[186.69, 123.19];[192.405, 123.19];0.5
[174.625, 124.46];[181.61, 124.46];0.4318
[149.86, 125.095];[173.99, 125.095];0.5
[181.61, 124.46];[182.88, 123.19];0.5
[120.65, 109.855];[121.285, 109.22];0.5
[120.65, 111.76];[120.65, 109.855];0.5
[192.405, 123.19];[201.93, 123.19];0.5
[121.285, 109.22];[132.715, 109.22];0.5
[205.74, 52.07];[209.55, 52.07];0.4318
[182.88, 123.19];[186.69, 123.19];0.5
[194.945, 91.44];[194.945, 113.665];0.5
[194.945, 113.665];[194.31, 114.3];0.5
[200.025, 57.15];[200.025, 52.07];0.5
[194.31, 114.3];[192.405, 114.3];0.5
[190.5, 50.8];[198.755, 50.8];0.5
[198.755, 50.8];[200.025, 52.07];0.5
[135.255, 111.76];[137.795, 114.3];0.5
[215.265, 50.8];[210.82, 50.8];0.5
[200.025, 57.15];[201.295, 58.42];0.5
[201.295, 58.42];[201.295, 85.09];0.5
[201.295, 85.09];[194.945, 91.44];0.5
[137.795, 114.3];[139.065, 114.3];0.5
[139.065, 114.3];[149.86, 125.095];0.5
[192.405, 114.3];[191.77, 114.3];0.5
[189.23, 116.84];[186.69, 116.84];0.5
[191.77, 114.3];[189.23, 116.84];0.5
[106.045, 121.92];[107.95, 121.92];0.5
[107.95, 121.92];[116.205, 121.92];0.5
[100.965, 127.254];[106.045, 121.92];0.5
[97.155, 127.254];[100.965, 127.254];0.5
[94.615, 124.46];[97.155, 127.254];0.5
[94.615, 119.38];[94.615, 124.46];0.5
[95.885, 118.11];[94.615, 119.38];0.5
[97.79, 118.11];[95.885, 118.11];0.5
[100.33, 118.11];[97.79, 118.11];0.5
[116.205, 121.92];[118.11, 120.015];0.5
[118.11, 120.015];[118.11, 119.38];0.5
[95.885, 122.555];[95.885, 123.444];0.5
[95.885, 123.444];[97.917, 125.476];0.5
[97.917, 125.476];[99.949, 125.476];0.5
[99.949, 125.476];[100.33, 125.095];0.5
[96.52, 120.015];[102.616, 120.015];0.5
[95.885, 120.65];[96.52, 120.015];0.5
[104.521, 115.316];[107.95, 115.316];0.5
[95.885, 122.555];[95.885, 120.65];0.5
[102.616, 120.015];[103.505, 119.126];0.5
[103.505, 119.126];[103.505, 116.332];0.5
[103.505, 116.332];[104.521, 115.316];0.5
[107.95, 115.316];[125.73, 115.57];0.5
[128.27, 113.03];[125.73, 115.57];0.5
[128.27, 111.76];[128.27, 113.03];0.5
[118.11, 57.15];[124.46, 57.15];0.5
[124.46, 60.96];[125.73, 62.23];0.5
[124.46, 57.15];[124.46, 60.96];0.5
